Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Alcazar (L'),1 Rue de la Station - 92600 Asnières-sur-Seine,1,026662,300,35mmNumérique,Numérique 2D,Charlotte Prunier,charlotte@babylone222.com,
Alcazar (L'),1 Rue de la Station - 92600 Asnières-sur-Seine,2,026674,158,35mmNumérique,Numérique 2D,Charlotte Prunier,charlotte@babylone222.com,
Alcazar (L'),1 Rue de la Station - 92600 Asnières-sur-Seine,3,026675,90,35mmNumérique,Numérique 2D,Charlotte Prunier,charlotte@babylone222.com,
Alcazar (L'),1 Rue de la Station - 92600 Asnières-sur-Seine,4,026676,98,3DNumérique,Numérique 2D,Charlotte Prunier,charlotte@babylone222.com,
Salle Charles Chaplin,7 Avenue Auguste Duru - 94480 Ablon-sur-Seine,1,010552,188,Numérique,Numérique 2D,Gilles Le Proust,gilles.leproust@yahoo.fr,
Getari Enea GRAAC,"77, rue de l'Eglise - 64210 Guethary",1,187793,159,Numérique,Numérique 2D,,Xabi Garat,ententesaintlouis@gmail.com
Ventura (Le),4 Rue Samuel Deborde - 91200 Athis-Mons,1,027573,175,3D35mmNumérique,Numérique 2D,Gilles Le Proust,gilles.leproust@yahoo.fr,
Ciné Ruban,"Le cercle, 9 place des victimes des déportés du travail - 43240 Saint-Just-Malmont",1,396242,178,Numérique,Numérique 2D,Vincent VIALLA,vincentvialla@lemajestic.fr,
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,1,057141,624,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,2,057142,174,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,3,057143,174,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,4,057144,158,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,5,057145,172,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,6,057146,154,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,7,057150,111,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,8,057151,230,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,8 ATMOS,,,Numérique,,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,9,057152,129,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,10,057153,116,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,11,057154,90,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,12,057155,288,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,13,057156,113,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,14,057157,163,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Blagnac,ZAC du Grand-Noble - Allée Emile Zola,15,057158,161,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Paul Grimault,"1, av. de la Division Leclerc - 78410 Aubergenville",1,028113,169,3D35mmNumérique,,David Ricossay,d.ricossay@aubergenville.fr,cinema@aubergenville.fr
Studio,"2, rue Edouard Poisson - 93300 Aubervilliers",1,028264,127,35mmNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Grenier de Monsieur (Le),98 places cinéma Du Grenier de Monsieur - 12410 Salles-Curan,1,724840,,Numérique,Numérique 2D,Herve Benac,cinemasaintromedetarn@gmail.com,
Diapason (Le),12 rue Jean Holweg - 67550 Vendenheim,1,446302,121,Numérique,Numérique 2D,Aurélie SMITH,"aurelie.smith@vendenheim.fr, lediapason@vendenheim.fr, aurelie.smith@vendenheim.fr",
Carfour (Le),route de Nesmy - 85430 Aubigny,1,028661,238,35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,1,724800,350,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,2,724801,166,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,3,724802,230,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,4,724803,142,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,5,724804,94,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Galaxy,1 rue de la belle allée - 16100 Chateaubernard,6,724805,94,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Atomic,23 Rue du Prieuré - 18700 Aubigny-sur-Nère,1,028732,163,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Cinetriskell,Place du Foirail - 85300 Challans,1,094745,360,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinetriskell,Place du Foirail - 85300 Challans,2,094746,96,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinetriskell,Place du Foirail - 85300 Challans,3,094747,70,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinetriskell,Place du Foirail - 85300 Challans,4,094748,158,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinetriskell,Place du Foirail - 85300 Challans,5,094749,96,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Colbert,Grande rue - 23200 Aubusson,1,028991,258,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Colbert,Grande rue - 23200 Aubusson,2,028992,121,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Ciné Cluses,"110, Chemin de l'Épinette - 74300 Cluses",1,115566,,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Ciné Cluses,"110, Chemin de l'Épinette - 74300 Cluses",2,115567,,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Ciné Cluses,"110, Chemin de l'Épinette - 74300 Cluses",3,115568,,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Jean Marais,"8, rue des Ecoles - 31140 Aucamville",1,029062,188,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Louis Aragon,"61 Bis, rue Jean Jaurès - 62260 Auchel",1,029144,514,3D35mmNumérique,Numérique 2D,,cine@auchel.fr,
Ciné Goyen,"13, rue Louis Pasteur - 29770 Audierne",1,029373,516,3D35mmNumérique,Numérique 2D,Renaud Clargé,micromegasclarge@yahoo.fr,
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,1,724080,270,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,2,724081,180,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,3,724082,142,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,4,724083,82,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,5,724084,82,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,6,724085,82,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Emeraude Cinemas La Richardais,3 rue des villes billy - 35780 La Richardais,7,724086,82,Numérique,Numérique 2D,,Aurélie Saget,asaget@cinediffusion.fr
Ciné Audun,"31, rue Leclerc - 57390 Audun-le-Tiche",1,029563,134,35mmNumérique,Numérique 2D,MJC Audun,mjc.audun@orange.fr,
Lavoir Numérique (Le),10 rue Victor Marquigny - 94250 Gentilly,1,175794,90,Numérique,Numérique 2D,Benoît De chaumont,benoit.dechaumont@grandorlyseinebievre.fr,
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",1,282631,215,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",2,282632,215,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",3,282634,292,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",4,282645,178,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",5,282635,354,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",6,282636,440,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",7,282640,440,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",8,282641,742,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",9,282633,215,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",10,282643,354,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",11,282644,255,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",12,282642,440,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",13,282646,178,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Mulhouse,"175, av. Robert Schuman - BP 1357 - 68070 Mulhouse",14,282650,215,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
CGR Eperon - Angoulême,74 Rue de la Corderie - 16000 Angoulême,1,019507,167,3DNumérique,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Confluences Sablé sur Sarthe,2 Bis rue Saint Denis - 72300 Sablé-sur-Sarthe,1,348315,174,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Sablé sur Sarthe,2 Bis rue Saint Denis - 72300 Sablé-sur-Sarthe,2,348316,110,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Sablé sur Sarthe,2 Bis rue Saint Denis - 72300 Sablé-sur-Sarthe,3,348317,76,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Espace Prévert,"134, rue Anatole France - 93600 Aulnay-sous-Bois",1,030164,170,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Espace Prévert,"134, rue Anatole France - 93600 Aulnay-sous-Bois",2,030182,619,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Salle PINATEL,Rue Eugène Bonardel - 42530 Saint-Genest-Lerpt,1,386782,204,Numérique,,Jacques KOTLAREK,jacques.kotlarek@hotmail.com,
Chantecler,"Mairie d'aumale, 6, rue de l'hotel de ville - 76390 Aumale",1,030482,181,3D35mmNumérique,Numérique 2D,Daragon Baptiste,cinema.aumale@orange.fr,
Paradiso Théatre,"2, rue de Verdun - 14260 Aunay-sur-Odon",1,030761,199,3D35mmNumérique,Numérique 2D,Jean-Marie Groult,programmation@laliguenormandie.org,
Cinéma Théâtre,Place de Burgewedel - 61700 Domfront en Poiraie,1,140082,,NumériqueDolby Cinema,Numérique 2D,Jean-Marie Groult,programmation@laliguenormandie.org,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,1Atmos,334606,309,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,2,334607,169,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,3,334608,122,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,4,334609,121,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,5,334610,99,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,6,334611,94,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Majestic Remiremont,Route de Dommartin - Eco quartier la Filature - 88200 Remiremont,7atmos,334612,121,Numérique,Numérique 2D,Virginie Henniquaux,vhenniquaux@majestic-cinemas.com,
Oustal,place du 8 Mai 1945 - 31190 Auterive,1,031544,179,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Clos,Le Clos - 38880 Autrans,1,032092,160,35mmNumérique,Numérique 2D,Jacques Richer,"jricher-lca@wanadoo.fr, espace-aragon@le-gresivaudan.fr",
Arletty,"5, rue Pernette - 71400 Autun",1,032363,150,3D35mmNumérique,Numérique 2D,Jean-christophe Pape,cinema@autun-cinema.com,
Arletty,"5, rue Pernette - 71400 Autun",2,032364,102,3D35mmNumérique,Numérique 2D,Jean-christophe Pape,cinema@autun-cinema.com,
Arletty,"5, rue Pernette - 71400 Autun",3,032365,66,3D35mmNumérique,Numérique 2D,Jean-christophe Pape,cinema@autun-cinema.com,
Arletty,"5, rue Pernette - 71400 Autun",4,032366,99,Numérique,Numérique 2D,Jean-christophe Pape,cinema@autun-cinema.com,
Empire (L'),Jardin de l'Hôtel de Ville - 21130 Auxonne,1,032771,192,3D35mmNumérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",1,284207,500,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",2,284208,142,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",3,284209,340,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",4,284210,142,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",5,284211,210,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",6,284212,196,3D35mmNumériqueScreenX,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",7,284213,210,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",8,284214,210,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",9,284215,340,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nancy,"3, rue Victor - 54000 Nancy",10,284216,319,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Studio 7,3 Chemin des Écoliers - 31650 Auzielle,1,032941,98,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Vauban,"1, rue du Marechal Foch - 89200 Avallon",1,033122,271,3D35mmNumérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Vauban,"1, rue du Marechal Foch - 89200 Avallon",2,033123,180,3D35mmNumérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Megarama Denain,2 rue Villars - 59220 Denain,1,137112,274,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,2,137113,87,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,3,137114,87,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,4,137115,169,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,5,137116,166,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,6,137117,87,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Denain,2 rue Villars - 59220 Denain,7,137118,87,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Prisme (Le),11 rue Pierre et Marie Curie - 89400 Migennes,1,262263,,Numérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Prisme (Le),11 rue Pierre et Marie Curie - 89400 Migennes,2,262264,,Numérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Prisme (Le),11 rue Pierre et Marie Curie - 89400 Migennes,3290066,,,Numérique,,Régis Faure,panacea.regis.faure@gmail.com,
Confluences Bar le Duc,8 avenue du 94è régiment d'infanterie - 55000 Bar-le-Duc,1,039487,157,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Bar le Duc,8 avenue du 94è régiment d'infanterie - 55000 Bar-le-Duc,2,039488,96,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Bar le Duc,8 avenue du 94è régiment d'infanterie - 55000 Bar-le-Duc,3,039489,69,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Bar le Duc,8 avenue du 94è régiment d'infanterie - 55000 Bar-le-Duc,4,039490,259,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Confluences Bar le Duc,8 avenue du 94è régiment d'infanterie - 55000 Bar-le-Duc,5,039491,179,Numérique,Numérique 2D,Pascal Lamorinière,pascal.lamoriniere@cinema-confluences.com,
Caméo,"51, rue des Prés - 59440 Avesnes-sur-Helpe",1,033621,186,35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Caméo,"51, rue des Prés - 59440 Avesnes-sur-Helpe",2,033623,83,35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Vox (Le),"22, place de l'Horloge - 84000 Avignon",1,033751,161,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Vox (Le),"22, place de l'Horloge - 84000 Avignon",2,033773,99,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Paradiso (Le),60 rue Jean Mermoz - 84300 Cavaillon,1,090324,91,Numérique,Numérique 2D,Eric Tellene,,
Paradiso (Le),60 rue Jean Mermoz - 84300 Cavaillon,2,090325,83,Numérique,Numérique 2D,Eric Tellene,,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,1,723240,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,2,723241,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,3,723242,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,4,723243,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,6,723245,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Studio 6,5 Allée Annie Girardot - 74100 Annemasse,7,723246,96,Numérique,Numérique 2D,Phillipe Baud,info@cinemonde.fr,
Ciné Sologne (Cinexpansion du val du loire),Le Clos de l'Arche71 bis avenue de Paris - 41200 Romorantin-Lanthenay,1,342115,260,Numérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Ciné Sologne (Cinexpansion du val du loire),Le Clos de l'Arche71 bis avenue de Paris - 41200 Romorantin-Lanthenay,2,342116,96,Numérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Ciné Sologne (Cinexpansion du val du loire),Le Clos de l'Arche71 bis avenue de Paris - 41200 Romorantin-Lanthenay,3,342117,70,Numérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Ciné Sologne (Cinexpansion du val du loire),Le Clos de l'Arche71 bis avenue de Paris - 41200 Romorantin-Lanthenay,4,342118,158,Numérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Ciné Sologne (Cinexpansion du val du loire),Le Clos de l'Arche71 bis avenue de Paris - 41200 Romorantin-Lanthenay,5,342119,96,Numérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,1,313013,110,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,2,313014,96,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,3,313015,110,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,4,313016,82,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,5,313017,110,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,6,313018,96,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,7,313019,177,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,8,313020,111,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
UGC Plaisir,1170 Avenue de Saint-Germain - 78370 Plaisir,9,313021,385,Numérique,Numérique 2D,Marion Collette,mcollette@ugc.fr,
Ciné Château Bonneville,51 Rue porte du Château - 74130 Bonneville,1,062264,299,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Château Bonneville,51 Rue porte du Château - 74130 Bonneville,2,062265,201,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Château Bonneville,51 Rue porte du Château - 74130 Bonneville,3,062266,132,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Familia (Le),"18, rue Edouard Deprêt - 62210 Avion",1,033912,193,35mmNumérique,Numérique 2D,Isabelle FOLDI,cinema-familia@ville-avion.fr,
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,1,724960,60,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,2,724961,72,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,3,724962,98,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,4,724963,347,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,5,724964,236,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Waves,Chemin de Pie Grièche Cc Waves Actisud - 57160 Moulins-lès-Metz,6,724965,69,Numérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
ARVOR,"11, rue de Châtillon - 35000 Rennes",1,335121,325,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
ARVOR,"11, rue de Châtillon - 35000 Rennes",2,335122,76,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
